new,old
Vitvi01g00202,VIT_01s0011g02510
Vitvi01g00203,VIT_01s0011g02520
Vitvi01g00204,VIT_01s0011g02530
Vitvi01g00210,VIT_01s0011g02700
Vitvi01g00211,VIT_01s0011g02730
Vitvi01g00214,VIT_01s0011g02740
Vitvi01g00215,VIT_01s0011g02750
Vitvi01g00216,VIT_01s0011g02770
Vitvi01g00216,VIT_01s0011g02760
Vitvi01g00217,VIT_01s0011g02780
Vitvi01g00218,VIT_01s0011g02800
Vitvi01g00219,VIT_01s0011g02810
Vitvi01g00220,VIT_01s0011g02820
Vitvi01g00221,VIT_01s0011g02830
Vitvi01g00222,VIT_01s0011g02840
Vitvi01g00223,VIT_01s0011g02850
Vitvi01g00224,VIT_01s0011g02860
Vitvi01g00225,VIT_01s0011g02870
Vitvi01g00226,VIT_01s0011g02880
Vitvi01g00227,VIT_01s0011g02910
Vitvi01g00228,VIT_01s0011g02920
Vitvi01g00230,VIT_01s0011g02930
Vitvi01g00232,VIT_01s0011g02940
Vitvi01g00233,VIT_01s0011g02950
Vitvi01g00234,VIT_01s0011g02960
Vitvi01g00236,VIT_01s0011g02970
Vitvi01g00237,VIT_01s0011g02990
Vitvi01g00238,VIT_01s0011g03010
Vitvi01g00239,VIT_01s0011g03020
Vitvi01g00241,VIT_01s0011g03050
Vitvi01g00243,VIT_01s0011g03060
Vitvi01g00244,VIT_01s0011g03070
Vitvi01g00245,VIT_01s0011g03080
Vitvi01g00246,VIT_01s0011g03090
Vitvi01g00247,VIT_01s0011g03100
Vitvi01g00249,VIT_01s0011g03110
Vitvi01g00250,VIT_01s0011g03120
Vitvi01g00251,VIT_01s0011g03130
Vitvi01g00252,VIT_01s0011g03160
Vitvi01g00252,VIT_01s0011g03140
Vitvi01g00252,VIT_01s0011g03170
Vitvi01g00253,VIT_01s0011g03180
Vitvi01g00254,VIT_01s0011g03190
Vitvi01g00255,VIT_01s0011g03200
Vitvi01g00258,VIT_01s0011g03210
Vitvi01g00259,VIT_01s0011g03220
Vitvi01g00260,VIT_01s0011g03230
Vitvi01g00261,VIT_01s0011g03240
Vitvi01g00262,VIT_01s0011g03250
Vitvi01g00263,VIT_01s0011g03260
Vitvi01g00264,VIT_01s0011g03270
Vitvi01g00265,VIT_01s0011g03280
Vitvi01g00266,VIT_01s0011g03290
Vitvi01g00268,VIT_01s0011g03300
Vitvi01g00269,VIT_01s0011g03310
Vitvi01g00270,VIT_01s0011g03320
Vitvi01g00271,VIT_01s0011g03330
Vitvi01g00272,VIT_01s0011g03350
Vitvi01g00273,VIT_01s0011g03370
Vitvi01g00274,VIT_01s0011g03380
Vitvi01g00275,VIT_01s0011g03390
Vitvi01g00277,VIT_01s0011g03400
Vitvi01g00278,VIT_01s0011g03410
Vitvi01g00279,VIT_01s0011g03420
Vitvi01g00280,VIT_01s0011g03450
Vitvi01g00281,VIT_01s0011g03460
Vitvi01g00282,VIT_01s0011g03480
Vitvi01g00284,VIT_01s0011g03490
Vitvi01g00286,VIT_01s0011g03500
Vitvi01g00287,VIT_01s0011g03510
Vitvi01g00288,VIT_01s0011g03520
Vitvi01g00290,VIT_01s0011g03530
Vitvi01g00291,VIT_01s0011g03540
Vitvi01g00292,VIT_01s0011g03560
Vitvi01g00293,VIT_01s0011g03590
Vitvi01g00294,VIT_01s0011g03610
Vitvi01g00295,VIT_01s0011g03620
Vitvi01g00296,VIT_01s0011g03630
Vitvi01g00298,VIT_01s0011g03640
Vitvi01g00299,VIT_01s0011g03660
Vitvi01g00300,VIT_01s0011g03670
Vitvi01g00301,VIT_01s0011g03700
Vitvi01g00302,VIT_01s0011g03730
Vitvi01g00303,VIT_01s0011g03740
Vitvi01g00304,VIT_01s0011g03750
Vitvi01g00306,VIT_01s0011g03760
Vitvi01g00308,VIT_01s0011g03770
Vitvi01g00309,VIT_01s0011g03780
Vitvi01g00310,VIT_01s0011g03790
Vitvi01g00311,VIT_01s0011g03800
Vitvi01g00313,VIT_01s0011g03820
Vitvi01g00314,VIT_01s0011g03830
Vitvi01g00315,VIT_01s0011g03840
Vitvi01g00317,VIT_01s0011g03850
Vitvi01g00318,VIT_01s0011g03860
Vitvi01g00319,VIT_01s0011g03870
Vitvi01g00320,VIT_01s0011g03880
Vitvi01g00321,VIT_01s0011g03890
Vitvi01g00324,VIT_01s0011g03900
Vitvi01g00325,VIT_01s0011g03910
Vitvi01g00326,VIT_01s0011g03920
Vitvi01g00327,VIT_01s0011g03980
Vitvi01g00328,VIT_01s0011g04000
Vitvi01g00329,VIT_01s0011g04010
Vitvi01g00330,VIT_01s0011g04020
Vitvi01g00331,VIT_01s0011g04030
Vitvi01g00333,VIT_01s0011g04050
Vitvi01g00335,VIT_01s0011g04060
Vitvi01g00336,VIT_01s0011g04070
Vitvi01g00337,VIT_01s0011g04080
Vitvi01g00338,VIT_01s0011g04120
Vitvi01g00338,VIT_01s0011g04110
Vitvi01g00338,VIT_01s0011g04100
Vitvi01g00338,VIT_01s0011g04090
Vitvi01g00339,VIT_01s0011g04130
Vitvi01g00340,VIT_01s0011g04180
Vitvi01g00342,VIT_01s0011g04200
Vitvi01g00343,VIT_01s0011g04210
Vitvi01g00344,VIT_01s0011g04220
Vitvi01g00345,VIT_01s0011g04230
Vitvi01g00346,VIT_01s0011g04240
Vitvi01g00347,VIT_01s0011g04260
Vitvi01g00348,VIT_01s0011g04270
Vitvi01g00350,VIT_01s0011g04280
Vitvi01g00352,VIT_01s0011g04290
Vitvi01g00353,VIT_01s0011g04300
Vitvi01g00354,VIT_01s0011g04310
Vitvi01g00355,VIT_01s0011g04320
Vitvi01g00355,VIT_01s0011g04330
Vitvi01g00357,VIT_01s0011g04340
Vitvi01g00360,VIT_01s0011g04350
Vitvi01g00361,VIT_01s0011g04360
Vitvi01g00362,VIT_01s0011g04370
Vitvi01g00363,VIT_01s0011g04380
Vitvi01g00365,VIT_01s0011g04390
Vitvi01g00366,VIT_01s0011g04400
Vitvi01g00368,VIT_01s0011g04410
Vitvi01g00369,VIT_01s0011g04420
Vitvi01g00370,VIT_01s0011g04430
Vitvi01g00371,VIT_01s0011g04460
Vitvi01g00372,VIT_01s0011g04480
Vitvi01g00373,VIT_01s0011g04490
Vitvi01g00374,VIT_01s0011g04500
