new,old,loc
Vitvi00g00870,VIT_00s0659g00010,LOC104878478
Vitvi00g00871,VIT_00s0662g00010,LOC100255430
Vitvi00g00873,VIT_00s0663g00020,LOC100261438
Vitvi00g00873,VIT_00s0663g00010,LOC100261438
Vitvi00g00873,VIT_00s0662g00040,LOC100261438
Vitvi00g00878,VIT_00s0669g00010,LOC100853963
Vitvi00g00880,,LOC100255005
Vitvi00g00881,,LOC100854176
Vitvi00g00882,VIT_00s0672g00010,LOC100256522
Vitvi00g00885,VIT_00s0679g00010,LOC100854264
Vitvi00g00886,VIT_00s0686g00010,LOC100242421
Vitvi00g00887,VIT_00s0686g00020,LOC104878484
Vitvi00g00888,VIT_00s0686g00030,LOC100854519
Vitvi00g00889,VIT_00s0695g00010,
Vitvi00g00890,VIT_00s0698g00010,LOC100232861
Vitvi00g00892,VIT_00s0701g00010,LOC104878487
Vitvi00g00894,VIT_00s0705g00010,LOC100256210
Vitvi00g00895,VIT_00s0707g00010,LOC100854836
Vitvi00g00897,VIT_00s0710g00020,LOC100260262
Vitvi00g00899,VIT_00s0724g00010,
Vitvi00g00902,VIT_00s0732g00010,LOC100267724
Vitvi00g00903,VIT_00s0733g00010,LOC104878494
Vitvi00g00904,VIT_00s0734g00020,LOC100260987
Vitvi00g00906,VIT_00s0734g00030,LOC100255908
Vitvi00g00908,VIT_00s0740g00010,LOC104878496
Vitvi00g00909,VIT_00s0743g00010,LOC104877369
Vitvi00g00910,VIT_00s0743g00020,LOC100855315
Vitvi00g00911,VIT_00s0743g00030,
Vitvi00g00914,VIT_00s0748g00020,LOC100855392
Vitvi00g00915,VIT_00s0753g00010,LOC104878498
